,country,male_life_expectancy,female_life_expectancy,birth_rate,death_rate,stability,rights,health,safety,climate,costs,popularity,iq,education_expenditure_per_inhabitant,daily_max_temp,area,population,pop_per_km_sq,male_height,female_height,male_weight,female_weight,male_bmi,female_bmi
24,Austria,78.9,83.6,9.4,10.3,83.0,91.0,97.0,98.0,27.0,37.0,43.0,100.0,"1,764",13.1,,,,178.0,166.0,84.6,68.3,26.6,24.7
25,Belgium,78.6,83.1,9.9,11.0,75.0,87.0,88.0,92.0,20.0,32.0,40.0,100.0,"1,676",14.8,30530.0,11.59 M,379.6,179.0,164.0,85.9,68.8,26.8,25.7
26,Greece,78.6,83.7,7.9,12.2,60.0,61.0,89.0,88.0,70.0,44.0,45.0,92.0,541,22.3,131960.0,10.66 M,80.8,179.0,165.0,88.1,73.7,27.6,26.9
27,Germany,78.6,83.4,9.3,11.9,82.0,94.0,96.0,95.0,21.0,44.0,42.0,100.0,"1,385",13.7,357580.0,83.13 M,232.5,180.0,166.0,88.7,71.7,27.4,26.0
28,Bermuda,78.3,86.0,8.4,8.8,89.0,78.0,96.0,93.0,68.0,34.0,35.0,88.0,"1,552",24.6,,,,179.0,166.0,88.4,80.4,27.6,29.3
29,Portugal,78.0,84.1,8.2,12.0,80.0,77.0,82.0,93.0,68.0,44.0,38.0,95.0,725,21.3,92226.0,10.30 M,111.7,174.0,161.0,79.5,65.8,26.3,25.4
30,Chile,78.0,82.5,12.0,6.3,66.0,79.0,68.0,87.0,47.0,54.0,33.0,89.0,210,18.4,,,,173.0,159.0,82.8,71.5,27.8,28.2
31,Costa Rica,78.0,83.0,13.4,5.2,69.0,69.0,64.0,73.0,44.0,46.0,32.0,86.0,216,28.7,,,,174.0,160.0,80.9,71.7,26.8,28.0
32,Maldives,77.8,81.0,13.1,2.7,64.0,39.0,72.0,87.0,63.0,59.0,18.0,,,,300.0,0.54 M,1812.1,168.0,154.0,69.2,62.4,24.6,26.3
33,United Arab Emirates,77.4,79.5,10.1,1.6,82.0,65.0,65.0,93.0,62.0,67.0,28.0,83.0,378,34.4,83600.0,9.99 M,119.5,173.0,160.0,84.5,75.6,28.1,29.5
34,Albania,77.2,80.3,11.5,8.3,58.0,43.0,64.0,84.0,55.0,57.0,26.0,84.0,55,21.2,,,,174.0,162.0,81.4,69.2,27.0,26.4
35,Cuba,76.9,80.9,9.8,9.3,,,,,,,,,,,,,,,,,,,
36,Bahrain,76.6,78.6,13.3,2.4,59.0,45.0,61.0,92.0,63.0,72.0,29.0,83.0,401,32.6,778.0,1.75 M,2247.2,172.0,158.0,74.0,62.2,24.9,24.9
37,Oman,76.4,80.5,17.8,2.4,68.0,51.0,64.0,92.0,43.0,68.0,32.0,82.0,385,33.9,,,,,,,,,
38,Algeria,75.9,78.3,22.8,4.7,35.0,24.0,61.0,97.0,77.0,55.0,37.0,82.0,109,26.5,,,,174.0,162.0,74.6,69.4,24.7,26.5
39,Iran,75.8,78.1,17.9,4.8,19.0,15.0,60.0,79.0,58.0,43.0,41.0,84.0,120,26.5,1745150.0,85.03 M,48.7,175.0,161.0,77.3,70.5,25.3,27.2
40,Morocco,75.6,78.1,18.1,5.1,56.0,40.0,53.0,87.0,81.0,45.0,37.0,82.0,89,24.0,,,,175.0,161.0,78.0,68.7,25.4,26.6
41,Czechia,75.3,81.3,10.3,12.1,78.0,73.0,90.0,93.0,22.0,49.0,40.0,99.0,387,12.8,,,,181.0,168.0,91.9,74.2,28.1,26.4
42,Turkey,75.0,80.8,15.5,5.5,31.0,38.0,64.0,87.0,62.0,59.0,50.0,89.0,141,20.4,785350.0,85.04 M,108.3,176.0,161.0,84.0,75.0,27.2,28.8
43,China,75.0,79.4,8.5,7.1,69.0,37.0,67.0,90.0,54.0,38.0,73.0,104.0,27,19.0,9562910.0,"1,412.36 M",147.7,175.0,163.0,73.5,62.2,24.1,23.5
44,Brunei,74.9,77.3,14.1,4.7,,,,,,,,88.0,840,31.7,5770.0,0.44 M,76.5,166.0,155.0,74.7,65.0,27.1,27.2
45,Kuwait,74.9,76.7,12.6,2.9,66.0,47.0,66.0,88.0,32.0,74.0,26.0,85.0,"1,630",34.2,,,,,,,,,
46,Colombia,74.7,80.2,14.4,5.7,47.0,46.0,62.0,30.0,55.0,46.0,28.0,82.0,128,30.2,,,,171.0,158.0,75.7,66.4,25.8,26.7
47,Croatia,74.7,80.9,8.9,14.1,67.0,58.0,80.0,91.0,57.0,67.0,38.0,95.0,353,18.2,,,,181.0,167.0,91.3,74.7,28.0,26.9
48,Ecuador,74.5,80.0,19.2,5.1,61.0,36.0,60.0,88.0,57.0,61.0,25.0,83.0,68,24.3,256370.0,17.89 M,69.8,167.0,155.0,74.2,66.9,26.6,27.9
49,United States,74.5,80.2,10.9,10.3,63.0,81.0,71.0,85.0,66.0,37.0,71.0,98.0,"1,904",18.8,9831510.0,331.89 M,33.8,177.0,163.0,90.6,77.1,29.0,29.0
50,Malaysia,74.4,78.5,16.4,5.3,70.0,58.0,61.0,91.0,44.0,46.0,44.0,93.0,273,32.1,330345.0,32.78 M,99.2,168.0,157.0,71.5,64.0,25.2,26.1
51,Peru,74.3,79.7,17.5,5.7,55.0,46.0,54.0,84.0,70.0,50.0,34.0,,,,,,,,,,,,
52,Estonia,74.2,82.7,9.9,11.9,80.0,89.0,81.0,92.0,17.0,43.0,26.0,99.0,459,10.1,,,,182.0,168.0,89.9,73.7,27.0,26.0
53,Saudi Arabia,74.1,76.9,16.8,3.5,53.0,45.0,61.0,90.0,52.0,76.0,44.0,81.0,700,32.5,2149690.0,35.34 M,16.4,170.0,158.0,80.9,73.6,28.0,29.4
54,Sri Lanka,73.8,80.4,15.3,6.9,52.0,43.0,62.0,92.0,57.0,56.0,33.0,79.0,30,29.7,65610.0,22.16 M,337.7,167.0,155.0,63.1,57.3,22.5,23.7
55,Thailand,73.7,81.1,10.0,7.9,61.0,40.0,65.0,96.0,46.0,55.0,42.0,89.0,108,33.0,513120.0,69.95 M,136.3,171.0,159.0,69.8,63.3,23.8,25.0
56,Argentina,73.4,80.1,16.6,7.6,41.0,44.0,79.0,78.0,78.0,41.0,34.0,90.0,278,23.9,2780400.0,45.81 M,16.5,174.0,161.0,84.7,71.4,27.9,27.6
57,Montenegro,73.2,78.8,11.4,11.7,50.0,52.0,68.0,85.0,53.0,61.0,25.0,84.0,,21.0,,,,183.0,170.0,90.4,75.3,27.0,26.2
58,Jordan,73.0,76.4,21.1,3.9,50.0,48.0,60.0,77.0,52.0,63.0,28.0,,,,,,,,,,,,
59,Jamaica,73.0,76.2,15.7,7.6,55.0,52.0,51.0,37.0,73.0,47.0,18.0,,,,,,,,,,,,
